,Fips,Location,TimeFrame,OxycodoneSalesData,HydrocodoneSalesData,DeathsData
0,1,Alabama,2000,6.74399,10.69559,0.98993
1,1,Alabama,2001,7.79399,11.35396,1.29709
2,1,Alabama,2002,7.80123,12.81029,1.61198
3,1,Alabama,2003,9.26128,15.48852,1.10769
4,1,Alabama,2004,9.10411,15.82898,1.847
5,1,Alabama,2005,9.88653,17.99939,1.75091
6,1,Alabama,2006,11.98591,20.08382,2.70266
7,1,Alabama,2007,14.93061,29.55838,3.59468
8,1,Alabama,2008,14.42558,24.45732,4.11182
9,1,Alabama,2009,15.39002,26.22844,4.4807
10,1,Alabama,2010,16.14073,25.75433,4.05494
11,1,Alabama,2011,18.88156,28.43895,3.76866
12,1,Alabama,2012,20.99541,29.6958,3.6097
13,1,Alabama,2013,21.10334,37.04516,3.51166
14,1,Alabama,2014,22.75752,26.76161,5.63612
15,1,Alabama,2015,23.42426,24.38306,6.13273
16,1,Alabama,2016,22.23861,23.02324,7.48004
17,1,Alabama,2017,19.31574,20.13305,9.04533
18,1,Alabama,2018,16.63208,17.86688,8.27228
19,2,Alaska,2000,11.66468,4.23627,4.00335
25,2,Alaska,2006,15.42679,7.83223,4.10747
27,2,Alaska,2008,18.21122,9.39256,12.49353
28,2,Alaska,2009,19.36936,9.84003,12.4654
29,2,Alaska,2010,18.20163,8.94792,8.74332
30,2,Alaska,2011,19.555,9.47216,8.7183
31,2,Alaska,2012,20.70067,9.49849,10.8243
32,2,Alaska,2013,20.32358,9.39149,9.24204
33,2,Alaska,2014,20.69738,8.98112,10.55206
34,2,Alaska,2015,21.49059,8.13675,11.03425
35,2,Alaska,2016,21.16648,7.43868,12.50671
36,2,Alaska,2017,19.39345,6.25486,13.87398
37,2,Alaska,2018,16.90886,5.19842,8.76727
38,4,Arizona,2000,8.1909,4.42918,4.83712
39,4,Arizona,2001,11.27272,5.32648,5.24489
40,4,Arizona,2002,12.74315,6.12019,6.17917
41,4,Arizona,2003,15.39839,7.26254,6.44398
42,4,Arizona,2004,17.5889,8.31719,6.33791
43,4,Arizona,2005,19.97417,8.45315,6.64267
44,4,Arizona,2006,23.97781,9.36985,7.80235
45,4,Arizona,2007,40.87166,10.49671,7.7433
46,4,Arizona,2008,29.27255,10.94692,8.10158
47,4,Arizona,2009,32.82813,11.65743,9.76202
48,4,Arizona,2010,28.86066,9.61838,9.92618
49,4,Arizona,2011,31.92624,10.50908,8.78158
50,4,Arizona,2012,34.61801,10.48663,8.2305
51,4,Arizona,2013,32.48752,10.35919,8.17915
52,4,Arizona,2014,33.07677,9.95986,8.78539
53,4,Arizona,2015,32.38275,7.98616,10.17299
54,4,Arizona,2016,30.75284,7.32528,11.35892
55,4,Arizona,2017,26.60187,6.3194,13.47937
56,4,Arizona,2018,21.62632,5.45539,15.92448
57,5,Arkansas,2000,4.5602,6.6796,0.77682
58,5,Arkansas,2001,5.88981,7.74932,1.14869
59,5,Arkansas,2002,6.51563,9.2347,3.53162
60,5,Arkansas,2003,7.46912,10.48047,3.40895
61,5,Arkansas,2004,9.49072,11.43696,4.80565
62,5,Arkansas,2005,11.4243,12.5478,4.6226
63,5,Arkansas,2006,11.81984,14.73851,5.1167
64,5,Arkansas,2007,14.38313,17.47319,5.35728
65,5,Arkansas,2008,14.96242,18.13776,7.24163
66,5,Arkansas,2009,16.97316,19.78716,7.22855
67,5,Arkansas,2010,17.70537,19.65407,6.79277
68,5,Arkansas,2011,19.06231,21.32759,6.16005
69,5,Arkansas,2012,20.79952,22.18987,5.97009
70,5,Arkansas,2013,20.08774,23.56239,5.60622
71,5,Arkansas,2014,21.56404,22.5121,6.25807
72,5,Arkansas,2015,22.94648,20.24267,7.2348
73,5,Arkansas,2016,21.7345,19.64221,5.92351
74,5,Arkansas,2017,19.82181,18.12302,6.48878
75,5,Arkansas,2018,15.73856,15.60833,7.39492
76,6,California,2000,2.57246,5.75942,3.00885
77,6,California,2001,3.82506,6.35395,1.62557
78,6,California,2002,4.87753,7.56166,4.21703
79,6,California,2003,5.98438,9.06399,3.98987
80,6,California,2004,6.45332,9.76293,3.97865
81,6,California,2005,7.10785,9.62567,3.81984
82,6,California,2006,8.31454,10.48273,4.14905
83,6,California,2007,10.27364,11.76012,4.49438
84,6,California,2008,11.09871,12.47553,4.81746
85,6,California,2009,12.43062,13.24202,5.22915
86,6,California,2010,11.65736,12.37742,4.99996
87,6,California,2011,11.83467,13.70494,4.95766
88,6,California,2012,12.40723,13.75928,4.35442
89,6,California,2013,11.94668,13.60305,4.86502
90,6,California,2014,11.45812,13.03133,4.95675
91,6,California,2015,11.29211,11.95722,4.91078
92,6,California,2016,10.49034,10.92161,4.86654
93,6,California,2017,9.2683,9.7409,5.27783
94,6,California,2018,7.74211,8.41218,5.82756
95,8,Colorado,2000,4.76166,3.92234,3.88028
96,8,Colorado,2001,7.07175,4.74618,4.1779
97,8,Colorado,2002,8.36588,5.23684,4.22615
98,8,Colorado,2003,9.63019,5.94077,4.54372
99,8,Colorado,2004,10.53256,6.22551,4.75519
100,8,Colorado,2005,11.17252,7.68381,6.15868
101,8,Colorado,2006,13.68083,6.84815,6.66058
102,8,Colorado,2007,17.30655,7.68062,7.04905
103,8,Colorado,2008,18.99569,8.67767,6.99088
104,8,Colorado,2009,20.44742,8.65058,7.66582
105,8,Colorado,2010,19.84961,7.56056,5.87695
106,8,Colorado,2011,22.85498,8.25955,8.04706
107,8,Colorado,2012,24.74988,7.85995,7.67899
108,8,Colorado,2013,22.07655,7.60425,8.02733
109,8,Colorado,2014,21.61937,7.12268,9.36766
110,8,Colorado,2015,21.38307,6.33371,8.72337
111,8,Colorado,2016,20.00624,5.75745,9.48041
112,8,Colorado,2017,17.74817,5.1686,10.00775
113,8,Colorado,2018,15.10614,4.32773,9.45314
114,9,Connecticut,2000,10.31355,3.01738,4.82011
115,9,Connecticut,2001,12.59439,2.79866,4.3229
116,9,Connecticut,2002,14.00725,3.58762,5.03139
117,9,Connecticut,2003,16.43987,3.85066,4.86247
118,9,Connecticut,2004,18.8566,3.67812,5.66574
119,9,Connecticut,2005,18.08532,4.20813,4.72108
120,9,Connecticut,2006,20.28657,3.99754,6.40245
121,9,Connecticut,2007,22.87716,4.59407,7.04855
122,9,Connecticut,2008,23.64935,4.95348,6.52617
123,9,Connecticut,2009,25.24122,4.88047,6.17419
124,9,Connecticut,2010,25.98948,4.48795,6.27336
125,9,Connecticut,2011,26.63045,4.94219,5.95419
126,9,Connecticut,2012,28.68816,4.55794,5.72626
127,9,Connecticut,2013,28.25519,4.30323,12.29207
128,9,Connecticut,2014,27.17646,3.86389,15.16295
129,9,Connecticut,2015,25.22296,3.18985,19.20303
130,9,Connecticut,2016,22.0836,2.70456,24.47231
131,9,Connecticut,2017,18.54943,2.24854,27.72899
132,9,Connecticut,2018,15.91856,1.88702,27.53925
133,10,Delaware,2000,10.44289,2.90716,3.69407
134,10,Delaware,2001,11.8738,2.78184,4.54723
135,10,Delaware,2002,14.06508,3.44298,6.00101
136,10,Delaware,2003,20.71093,4.11224,4.53895
137,10,Delaware,2004,21.23004,4.46418,4.23362
138,10,Delaware,2005,25.3578,4.79785,3.51199
139,10,Delaware,2006,29.03029,5.21821,4.49431
140,10,Delaware,2007,36.16889,5.46379,5.14877
141,10,Delaware,2008,46.5959,5.90033,7.65726
142,10,Delaware,2009,54.60294,5.94377,9.31434
143,10,Delaware,2010,56.37074,4.97777,12.02135
144,10,Delaware,2011,61.85538,5.20382,12.58392
145,10,Delaware,2012,48.54379,4.69506,9.15488
146,10,Delaware,2013,40.74571,4.2489,12.82081
147,10,Delaware,2014,38.69969,3.90106,13.92862
148,10,Delaware,2015,35.54891,3.41764,14.79092
149,10,Delaware,2016,33.72506,3.10607,16.93262
150,10,Delaware,2017,30.49302,2.66257,27.81241
151,10,Delaware,2018,27.00202,2.23428,39.33534
152,11,Dist. of Columbia,2000,6.06086,1.40475,7.67111
153,11,Dist. of Columbia,2001,6.34473,1.32637,8.12869
154,11,Dist. of Columbia,2002,6.86246,1.53332,5.1668
155,11,Dist. of Columbia,2003,9.15258,1.73541,10.69643
156,11,Dist. of Columbia,2004,8.88161,1.49651,9.42073
157,11,Dist. of Columbia,2005,9.7912,1.74058,7.80518
158,11,Dist. of Columbia,2006,9.76484,2.29428,9.60562
159,11,Dist. of Columbia,2007,10.60464,4.34075,5.18736
160,11,Dist. of Columbia,2008,10.5228,1.93468,5.14138
162,11,Dist. of Columbia,2010,12.35905,1.87051,5.80353
163,11,Dist. of Columbia,2011,13.90293,1.94966,7.96083
164,11,Dist. of Columbia,2012,13.87305,1.92457,7.32697
165,11,Dist. of Columbia,2013,13.56559,1.91097,8.59573
166,11,Dist. of Columbia,2014,12.83371,1.55779,9.42957
167,11,Dist. of Columbia,2015,12.27226,1.27697,14.52237
168,11,Dist. of Columbia,2016,11.12632,1.14269,29.96812
169,11,Dist. of Columbia,2017,9.66491,0.9556,34.74127
